Tipo 0
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
 81          2          0          0         47          0          1          0          0          0
 82          2          0          0         47          0          1          0          0          0
 83          2          0          0         47          0          1          0          0          0
 84          2          0          0         47          0          1          0          0          0
 85          2          0          0         47          0          1          0          0          0
 86          2          0          0         47          0          1          0          0          0
 87          2          0          0         47          0          1          0          0          0
 88          2          0          0         47          0          1          0          0          0
 89          2          0          0         47          0          1          0          0          0
 90          2          0          0         47          0          1          0          0          0
 91          2          0          0         47          0          1          0          0          0
 92          2          0          0         47          0          1          0          0          0
 93          2          0          0         47          0          1          0          0          0
 94          2          0          0         47          0          1          0          0          0
 95          2          0          0         47          0          1          0          0          0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------

Tipo 4
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1        140          0          0          0          0          0          0          0          0
  2        140          0          0          0          0          0          0          0          0
  3        140          0          0          0          0          0          0          0          0
  4        140          0          0          0          0          0          0          0          0
  5        140          0          0          0          0          0          0          0          0
  6        139          1          0          0          0          0          0          0          0
  7        139          1          0          0          0          0          0          0          0
  8        139          1          0          0          0          0          0          0          0
  9        138          2          0          0          0          0          0          0          0
 10        136          4          0          0          0          0          0          0          0
 11        136          4          0          0          0          0          0          0          0
 12        136          4          0          0          0          0          0          0          0
 13        132          8          0          0          0          0          0          1          0
 14        130         10          0          0          0          0          0          1          0
 15        125         15          0          0          0          0          0          1          0
 16        120         20          0          0          0          0          0          2          0
 17        110         30          0          0          0          0          0          4          0
 18        102         38          0          0          0          0          0          4          0
 19         98         42          0          0          0          0          0          4          0
 20         95         45          0          0          0          0          0          8          2
 21         86         54          0          0          0          0          0         10          2
 22         83         57          0          0          0          0          0         15          4
 23         76         63          0          0          0          1          0         19          7
 24         73         66          0          0          0          1          0         29          7
 25         65         74          0          0          0          1          0         37          7
 26         57         82          0          0          0          1          0         41          7
 27         55         84          0          0          0          1          0         44          7
 28         49         90          0          0          0          1          0         53          9
 29         47         92          0          0          0          1          0         56          9
 30         42         97          0          0          0          1          0         63          9
 31         37        100          0          2          0          1          0         64          9
 32         33        104          0          2          0          1          0         72          9
 33         32        104          0          3          0          1          0         79         11
 34         27        106          0          5          0          2          0         78         10
 35         25        106          0          7          0          2          0         82         11
 36         23        106          0          9          0          2          0         82         11
 37         22        106          0         10          0          2          0         86         11
 38         22        105          0         10          0          3          0         90         12
 39         20        105          0         12          0          3          0         92         12
 40         19        101          0         16          0          4          0         88         12
 41         18         98          0         19          0          5          0         89         12
 42         16         98          0         20          0          6          0         89         12
 43         16         94          0         23          0          7          0         87         13
 44         15         90          0         28          0          7          0         83         12
 45         15         88          0         30          0          7          0         81         12
 46         14         79          0         40          0          7          0         73         10
 47         13         76          0         42          0          9          0         70          8
 48         13         71          0         46          0         10          0         66          8
 49         13         66          0         51          0         10          0         63          8
 50         13         60          0         55          0         12          0         57          6
 51         13         57          0         58          0         12          0         55          6
 52         12         52          0         63          0         13          0         49          6
 53         12         50          0         64          0         14          0         48          6
 54         12         46          0         68          0         14          0         45          6
 55         12         43          0         71          0         14          0         42          6
 56         12         37          0         75          0         16          0         36          5
 57         12         33          0         78          0         17          0         32          5
 58         12         31          0         80          0         17          0         30          5
 59         12         27          0         81          0         20          0         27          4
 60         12         24          0         84          0         20          0         24          4
 61         12         20          0         87          0         21          0         20          4
 62         12         16          0         89          0         23          0         16          3
 63         12         14          0         91          0         23          0         14          3
 64         12         14          0         91          0         23          0         14          3
 65         12         11          0         93          0         24          0         11          2
 66         12          8          0         96          0         24          0          8          1
 67         12          7          0         97          0         24          0          7          0
 68         12          5          0         99          0         24          0          5          0
 69         12          5          0         99          0         24          0          5          0
 70         12          4          0        100          0         24          0          4          0
 71         12          3          0        100          0         25          0          3          0
 72         12          3          0        100          0         25          0          3          0
 73         12          3          0        100          0         25          0          3          0
 74         12          3          0        100          0         25          0          3          0
 75         12          1          0        102          0         25          0          1          0
 76         12          1          0        102          0         25          0          1          0
 77         12          1          0        102          0         25          0          1          0
 78         12          1          0        102          0         25          0          1          0
 79         12          1          0        102          0         25          0          1          0
 80         12          0          0        103          0         25          0          0          0
 81         12          0          0        103          0         25          0          0          0
 82         12          0          0        103          0         25          0          0          0
 83         12          0          0        103          0         25          0          0          0
 84         12          0          0        103          0         25          0          0          0
 85         12          0          0        103          0         25          0          0          0
 86         12          0          0        103          0         25          0          0          0
 87         12          0          0        103          0         25          0          0          0
 88         12          0          0        103          0         25          0          0          0
 89         12          0          0        103          0         25          0          0          0
 90         12          0          0        103          0         25          0          0          0
 91         12          0          0        103          0         25          0          0          0
 92         12          0          0        103          0         25          0          0          0
 93         12          0          0        103          0         25          0          0          0
 94         12          0          0        103          0         25          0          0          0
 95         12          0          0        103          0         25          0          0          0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------

